"port_gap [cm]","torus_rad [cm]","wire_rad [cm]","Freq [GHz]","dB(St11) []"
0.03,2.15,0.1,1.5,-0.28116273838487
0.03,2.15,0.1,1.503,-0.283671605827221
0.03,2.15,0.1,1.506,-0.286210940761455
0.03,2.15,0.1,1.509,-0.288781109667134
0.03,2.15,0.1,1.512,-0.291382484874557
0.03,2.15,0.1,1.515,-0.294015444651958
0.03,2.15,0.1,1.518,-0.296680373294163
0.03,2.15,0.1,1.521,-0.299377661212666
0.03,2.15,0.1,1.524,-0.302107705027209
0.03,2.15,0.1,1.527,-0.304870907658824
0.03,2.15,0.1,1.53,-0.307667678424404
0.03,2.15,0.1,1.533,-0.310498433132787
0.03,2.15,0.1,1.536,-0.313363594182413
0.03,2.15,0.1,1.539,-0.316263590660528
0.03,2.15,0.1,1.542,-0.319198858444
0.03,2.15,0.1,1.545,-0.322169840301731
0.03,2.15,0.1,1.548,-0.325176985998714
0.03,2.15,0.1,1.551,-0.32822075240173
0.03,2.15,0.1,1.554,-0.331301603586738
0.03,2.15,0.1,1.557,-0.334420010947939
0.03,2.15,0.1,1.56,-0.337576453308566
0.03,2.15,0.1,1.563,-0.340771417033417
0.03,2.15,0.1,1.566,-0.344005396143126
0.03,2.15,0.1,1.569,-0.347278892430231
0.03,2.15,0.1,1.572,-0.35059241557703
0.03,2.15,0.1,1.575,-0.353946483275253
0.03,2.15,0.1,1.578,-0.357341621347583
0.03,2.15,0.1,1.581,-0.360778363871025
0.03,2.15,0.1,1.584,-0.36425725330217
0.03,2.15,0.1,1.587,-0.367778840604339
0.03,2.15,0.1,1.59,-0.371343685376661
0.03,2.15,0.1,1.593,-0.374952355985082
0.03,2.15,0.1,1.596,-0.378605429695342
0.03,2.15,0.1,1.599,-0.38230349280791
0.03,2.15,0.1,1.602,-0.386047140794937
0.03,2.15,0.1,1.605,-0.389836978439207
0.03,2.15,0.1,1.608,-0.393673619975121
0.03,2.15,0.1,1.611,-0.397557689231743
0.03,2.15,0.1,1.614,-0.401489819777893
0.03,2.15,0.1,1.617,-0.405470655069339
0.03,2.15,0.1,1.62,-0.409500848598076
0.03,2.15,0.1,1.623,-0.413581064043722
0.03,2.15,0.1,1.626,-0.417711975427043
0.03,2.15,0.1,1.629,-0.421894267265625
0.03,2.15,0.1,1.632,-0.426128634731678
0.03,2.15,0.1,1.635,-0.430415783812046
0.03,2.15,0.1,1.638,-0.434756431470349
0.03,2.15,0.1,1.641,-0.43915130581136
0.03,2.15,0.1,1.644,-0.443601146247533
0.03,2.15,0.1,1.647,-0.448106703667786
0.03,2.15,0.1,1.65,-0.452668740608442
0.03,2.15,0.1,1.653,-0.457288031426454
0.03,2.15,0.1,1.656,-0.46196536247478
0.03,2.15,0.1,1.659,-0.46670153228005
0.03,2.15,0.1,1.662,-0.471497351722421
0.03,2.15,0.1,1.665,-0.476353644217671
0.03,2.15,0.1,1.668,-0.481271245901521
0.03,2.15,0.1,1.671,-0.48625100581618
0.03,2.15,0.1,1.674,-0.491293786099091
0.03,2.15,0.1,1.677,-0.496400462173925
0.03,2.15,0.1,1.68,-0.50157192294372
0.03,2.15,0.1,1.683,-0.50680907098626
0.03,2.15,0.1,1.686,-0.512112822751597
0.03,2.15,0.1,1.689,-0.517484108761737
0.03,2.15,0.1,1.692,-0.522923873812469
0.03,2.15,0.1,1.695,-0.528433077177309
0.03,2.15,0.1,1.698,-0.534012692813518
0.03,2.15,0.1,1.701,-0.539663709570219
0.03,2.15,0.1,1.704,-0.545387131398501
0.03,2.15,0.1,1.707,-0.551183977563555
0.03,2.15,0.1,1.71,-0.557055282858753
0.03,2.15,0.1,1.713,-0.563002097821634
0.03,2.15,0.1,1.716,-0.569025488951788
0.03,2.15,0.1,1.719,-0.575126538930526
0.03,2.15,0.1,1.722,-0.581306346842338
0.03,2.15,0.1,1.725,-0.587566028398051
0.03,2.15,0.1,1.728,-0.593906716159625
0.03,2.15,0.1,1.731,-0.60032955976652
0.03,2.15,0.1,1.734,-0.606835726163574
0.03,2.15,0.1,1.737,-0.613426399830283
0.03,2.15,0.1,1.74,-0.620102783011426
0.03,2.15,0.1,1.743,-0.626866095948918
0.03,2.15,0.1,1.746,-0.63371757711483
0.03,2.15,0.1,1.749,-0.640658483445407
0.03,2.15,0.1,1.752,-0.647690090576048
0.03,2.15,0.1,1.755,-0.654813693077083
0.03,2.15,0.1,1.758,-0.662030604690216
0.03,2.15,0.1,1.761,-0.669342158565532
0.03,2.15,0.1,1.764,-0.676749707498881
0.03,2.15,0.1,1.767,-0.68425462416955
0.03,2.15,0.1,1.77,-0.69185830137799
0.03,2.15,0.1,1.773,-0.699562152283477
0.03,2.15,0.1,1.776,-0.707367610641505
0.03,2.15,0.1,1.779,-0.715276131040741
0.03,2.15,0.1,1.782,-0.723289189139303
0.03,2.15,0.1,1.785,-0.731408281900195
0.03,2.15,0.1,1.788,-0.739634927825637
0.03,2.15,0.1,1.791,-0.74797066719007
0.03,2.15,0.1,1.794,-0.756417062271598
0.03,2.15,0.1,1.797,-0.764975697581553
0.03,2.15,0.1,1.8,-0.773648180091996
0.03,2.15,0.1,1.803,-0.782436139460761
0.03,2.15,0.1,1.806,-0.791341228253831
0.03,2.15,0.1,1.809,-0.80036512216463
0.03,2.15,0.1,1.812,-0.809509520229983
0.03,2.15,0.1,1.815,-0.818776145042338
0.03,2.15,0.1,1.818,-0.828166742957871
0.03,2.15,0.1,1.821,-0.837683084300112
0.03,2.15,0.1,1.824,-0.847326963558682
0.03,2.15,0.1,1.827,-0.857100199582677
0.03,2.15,0.1,1.83,-0.867004635768289
0.03,2.15,0.1,1.833,-0.877042140240165
0.03,2.15,0.1,1.836,-0.887214606026033
0.03,2.15,0.1,1.839,-0.897523951224051
0.03,2.15,0.1,1.842,-0.907972119162375
0.03,2.15,0.1,1.845,-0.91856107855033
0.03,2.15,0.1,1.848,-0.929292823620669
0.03,2.15,0.1,1.851,-0.940169374262204
0.03,2.15,0.1,1.854,-0.951192776142266
0.03,2.15,0.1,1.857,-0.962365100818248
0.03,2.15,0.1,1.86,-0.973688445837548
0.03,2.15,0.1,1.863,-0.985164934825203
0.03,2.15,0.1,1.866,-0.996796717558418
0.03,2.15,0.1,1.869,-1.0085859700272
0.03,2.15,0.1,1.872,-1.02053489448026
0.03,2.15,0.1,1.875,-1.03264571945538
0.03,2.15,0.1,1.878,-1.04492069979318
0.03,2.15,0.1,1.881,-1.05736211663356
0.03,2.15,0.1,1.884,-1.06997227739365
0.03,2.15,0.1,1.887,-1.08275351572637
0.03,2.15,0.1,1.89,-1.09570819145845
0.03,2.15,0.1,1.893,-1.10883869050694
0.03,2.15,0.1,1.896,-1.12214742477283
0.03,2.15,0.1,1.899,-1.13563683201088
0.03,2.15,0.1,1.902,-1.14930937567414
0.03,2.15,0.1,1.905,-1.16316754473213
0.03,2.15,0.1,1.908,-1.17721385346109
0.03,2.15,0.1,1.911,-1.19145084120515
0.03,2.15,0.1,1.914,-1.20588107210677
0.03,2.15,0.1,1.917,-1.2205071348051
0.03,2.15,0.1,1.92,-1.23533164210068
0.03,2.15,0.1,1.923,-1.2503572305848
0.03,2.15,0.1,1.926,-1.26558656023196
0.03,2.15,0.1,1.929,-1.2810223139536
0.03,2.15,0.1,1.932,-1.29666719711142
0.03,2.15,0.1,1.935,-1.31252393698834
0.03,2.15,0.1,1.938,-1.32859528221525
0.03,2.15,0.1,1.941,-1.34488400215159
0.03,2.15,0.1,1.944,-1.36139288621753
0.03,2.15,0.1,1.947,-1.37812474317599
0.03,2.15,0.1,1.95,-1.3950824003619
0.03,2.15,0.1,1.953,-1.41226870285673
0.03,2.15,0.1,1.956,-1.42968651260587
0.03,2.15,0.1,1.959,-1.44733870747641
0.03,2.15,0.1,1.962,-1.46522818025286
0.03,2.15,0.1,1.965,-1.48335783756837
0.03,2.15,0.1,1.968,-1.50173059876852
0.03,2.15,0.1,1.971,-1.52034939470532
0.03,2.15,0.1,1.974,-1.53921716645836
0.03,2.15,0.1,1.977,-1.55833686398031
0.03,2.15,0.1,1.98,-1.57771144466387
0.03,2.15,0.1,1.983,-1.59734387182703
0.03,2.15,0.1,1.986,-1.61723711311358
0.03,2.15,0.1,1.989,-1.63739413880561
0.03,2.15,0.1,1.992,-1.65781792004471
0.03,2.15,0.1,1.995,-1.67851142695863
0.03,2.15,0.1,1.998,-1.69947762668963
0.03,2.15,0.1,2.001,-1.72071948132132
