"Freq [GHz]","dB(St11) []"
2,-2.15206130420078
2.0025,-2.18071275327995
2.005,-2.20979863690035
2.0075,-2.23932595384228
2.01,-2.2693018153202
2.0125,-2.29973344674309
2.015,-2.3306281895095
2.0175,-2.36199350283907
2.02,-2.39383696564199
2.0225,-2.42616627842834
2.025,-2.45898926525922
2.0275,-2.49231387574166
2.03,-2.52614818706973
2.0325,-2.56050040611381
2.035,-2.59537887156096
2.0375,-2.63079205610881
2.04,-2.66674856871593
2.0425,-2.70325715691159
2.045,-2.7403267091684
2.0475,-2.7779662573411
2.05,-2.81618497917528
2.0525,-2.8549922008899
2.055,-2.89439739983788
2.0575,-2.93441020724917
2.06,-2.97504041106104
2.0625,-3.01629795884067
2.065,-3.05819296080538
2.0675,-3.10073569294623
2.07,-3.14393660026109
2.0725,-3.18780630010355
2.075,-3.23235558565468
2.0775,-3.27759542952475
2.08,-3.32353698749281
2.0825,-3.37019160239228
2.085,-3.41757080815132
2.0875,-3.4656863339972
2.09,-3.51455010883467
2.0925,-3.56417426580863
2.095,-3.61457114706224
2.0975,-3.66575330870236
2.1,-3.71773352598479
2.1025,-3.77052479873254
2.105,-3.82414035700118
2.1075,-3.87859366700656
2.11,-3.93389843733033
2.1125,-3.99006862542052
2.115,-4.04711844440491
2.1175,-4.10506237023615
2.12,-4.16391514918912
2.1225,-4.22369180573164
2.125,-4.28440765079149
2.1275,-4.34607829044408
2.13,-4.40871963504623
2.1325,-4.47234790884375
2.135,-4.53697966008165
2.1375,-4.60263177164815
2.14,-4.6693214722853
2.1425,-4.73706634840137
2.145,-4.80588435652243
2.1475,-4.87579383642263
2.15,-4.94681352497594
2.1525,-5.01896257077452
2.155,-5.09226054956169
2.1575,-5.16672748053149
2.16,-5.24238384354943
2.1625,-5.31925059735364
2.165,-5.3973491987989
2.1675,-5.4767016232113
2.17,-5.55733038592521
2.1725,-5.63925856508004
2.175,-5.72250982575954
2.1775,-5.80710844556244
2.18,-5.89307934169994
2.1825,-5.98044809972267
2.185,-6.06924100398721
2.1875,-6.15948506998139
2.19,-6.25120807863591
2.1925,-6.34443861276067
2.195,-6.43920609575458
2.1975,-6.53554083275004
2.2,-6.63347405436604
2.2025,-6.73303796325863
2.205,-6.8342657836727
2.2075,-6.93719181421703
2.21,-7.04185148410308
2.2125,-7.14828141310901
2.215,-7.25651947555405
2.2175,-7.36660486859293
2.22,-7.47857818516906
2.2225,-7.59248149199599
2.225,-7.70835841297091
2.2275,-7.82625421846284
2.23,-7.94621592095998
2.2325,-8.06829237760852
2.235,-8.19253440022744
2.2375,-8.31899487344288
2.24,-8.44772888165078
2.2425,-8.57879384559038
2.245,-8.7122496693929
2.2475,-8.84815889906218
2.25,-8.9865868934475
2.2525,-9.12760200888584
2.255,-9.27127579882197
2.2575,-9.41768322986383
2.26,-9.56690291589883
2.2625,-9.71901737208756
2.265,-9.87411329076828
2.2675,-10.0322818415523
2.27,-10.1936189981725
2.2725,-10.3582258949688
2.275,-10.5262092162629
2.2775,-10.6976816223007
2.28,-10.8727622159246
2.2825,-11.0515770547041
2.285,-11.2342597139029
2.2875,-11.4209519064148
2.29,-11.6118041666789
2.2925,-11.8069766066099
2.295,-12.006639752771
2.2975,-12.2109754754273
2.3,-12.420178021761
2.3025,-12.6344551674836
2.305,-12.8540295033822
2.3075,-13.0791398760781
2.31,-13.3100430055408
2.3125,-13.547015305806
2.315,-13.7903549400379
2.3175,-14.0403841467282
2.32,-14.29745188067
2.3225,-14.5619368206592
2.325,-14.8342508060269
2.3275,-15.1148427765483
2.33,-15.4042033055943
2.3325,-15.7028698353443
2.335,-16.011432746432
2.3375,-16.3305424238113
2.34,-16.6609175175316
2.3425,-17.0033546436323
2.345,-17.3587398292764
2.3475,-17.7280620811539
2.35,-18.1124295518127
2.3525,-18.5130889009899
2.355,-18.9314486059936
2.3575,-19.3691071763835
2.36,-19.8278874851082
2.3625,-20.3098787532191
2.365,-20.8174881284667
2.3675,-21.3535042794578
2.37,-21.9211759570005
2.3725,-22.5243089481878
2.375,-23.1673849815843
2.3775,-23.8557052219634
2.38,-24.5955573015336
2.3825,-25.3943942495139
2.385,-26.2609862555912
2.3875,-27.2054376105629
2.39,-28.2387911459898
2.3925,-29.3715214675217
2.395,-30.6091879514016
2.3975,-31.941145982463
2.4,-33.3139079163924
2.4025,-34.5800439594117
2.405,-35.4511481832709
2.4075,-35.5990279410655
2.41,-34.9639377111671
2.4125,-33.8267074281124
2.415,-32.5106000466729
2.4175,-31.2035040264542
2.42,-29.9808312291018
2.4225,-28.8623657375795
2.425,-27.8457599593508
2.4275,-26.9213535166834
2.43,-26.0780268601851
2.4325,-25.3053112314686
2.435,-24.5940162114781
2.4375,-23.9362959589681
2.44,-23.3255219027895
2.4425,-22.7561059054296
2.445,-22.2233276122994
2.4475,-21.7231834310449
2.45,-21.2522603743773
2.4525,-20.8076328295424
2.455,-20.3867788120443
2.4575,-19.9875121808679
2.46,-19.6079277060871
2.4625,-19.2463564091939
2.465,-18.901329097889
2.4675,-18.5715464447504
2.47,-18.2558543070093
2.4725,-17.953223260873
2.475,-17.6627315406142
2.4775,-17.3835507418945
2.48,-17.1149337807623
2.4825,-16.8562047027868
2.485,-16.6067500174148
2.4875,-16.3660112959655
2.49,-16.1334788216186
2.4925,-15.9086861193169
2.495,-15.6912052249909
2.4975,-15.4806425786945
2.5,-15.2766354464682
2.5025,-15.0788487920836
2.505,-14.8869725330614
2.5075,-14.7007191261494
2.51,-14.5198214362745
2.5125,-14.3440308502401
2.515,-14.1731156024262
2.5175,-14.006859284713
2.52,-13.8450595169751
2.5225,-13.6875267579378
2.525,-13.5340832390776
2.5275,-13.3845620066751
2.53,-13.2388060591782
2.5325,-13.0966675687711
2.535,-12.958007177513
2.5375,-12.8226933596728
2.54,-12.690601842951
2.5425,-12.5616150822085
2.545,-12.4356217801016
2.5475,-12.3125164497137
2.55,-12.1921990148535
2.5525,-12.0745744442053
2.555,-11.9595524159546
2.5575,-11.8470470098998
2.56,-11.7369764243956
2.5625,-11.629262715767
2.565,-11.5238315580892
2.5675,-11.420612021456
2.57,-11.3195363670564
2.5725,-11.2205398575546
2.575,-11.1235605814224
2.5775,-11.0285392900116
2.58,-10.9354192462721
2.5825,-10.8441460841321
2.585,-10.7546676776499
2.5875,-10.6669340191337
2.59,-10.5808971055014
2.5925,-10.4965108322192
2.595,-10.4137308942208
2.5975,-10.3325146932613
2.6,-10.2528212512103
2.6025,-10.1746111288319
2.605,-10.0978463496396
2.6075,-10.0224903284489
2.61,-9.9485078042832
2.6125,-9.87586477731761
2.615,-9.80452844957149
2.6175,-9.7344671690847
2.62,-9.66565037733341
2.6225,-9.59804855966226
2.625,-9.53163319852588
2.6275,-9.46637672935069
2.63,-9.40225249884136
2.6325,-9.33923472557078
2.635,-9.27729846270392
2.6375,-9.21641956271803
2.64,-9.15657464399111
2.6425,-9.0977410591408
2.645,-9.03989686500382
2.6475,-8.98302079415452
2.65,-8.92709222786806
2.6525,-8.87209117044065
2.655,-8.8179982247852
2.6575,-8.76479456922679
2.66,-8.71246193542701
2.6625,-8.66098258737179
2.665,-8.61033930136087
2.6675,-8.56051534694216
2.67,-8.51149446873708
2.6725,-8.46326086910741
2.675,-8.4157991916164
2.6775,-8.36909450524101
2.68,-8.32313228929393
2.6825,-8.2778984190174
2.685,-8.2333791518126
2.6875,-8.18956111407134
2.69,-8.14643128857803
2.6925,-8.10397700245249
2.695,-8.0621859156058
2.6975,-8.02104600968265
2.7,-7.98054557746598
2.7025,-7.94067321272034
2.705,-7.90141780045237
2.7075,-7.8627685075677
2.71,-7.82471477390504
2.7125,-7.78724630362896
2.715,-7.75035305696428
2.7175,-7.71402524225577
2.72,-7.67825330833769
2.7225,-7.64302793719879
2.725,-7.60834003692893
2.7275,-7.57418073493434
2.73,-7.54054137140933
2.7325,-7.50741349305271
2.735,-7.47478884701801
2.7375,-7.44265937508699
2.74,-7.41101720805652
2.7425,-7.37985466032972
2.745,-7.34916422470205
2.7475,-7.31893856733425
2.75,-7.28917052290401
2.7525,-7.25985308992872
2.755,-7.23097942625212
2.7575,-7.20254284468802
2.76,-7.17453680881445
2.7625,-7.14695492891212
2.765,-7.1197909580413
2.7675,-7.09303878825133
2.77,-7.06669244691766
2.7725,-7.04074609320107
2.775,-7.01519401462437
2.7775,-6.99003062376185
2.78,-6.96525045503717
2.7825,-6.94084816162531
2.785,-6.91681851245472
2.7875,-6.89315638930578
2.79,-6.8698567840018
2.7925,-6.84691479568925
2.795,-6.82432562820367
2.7975,-6.80208458751831
2.8,-6.78018707927213
2.8025,-6.75862860637452
2.805,-6.73740476668379
2.8075,-6.71651125075688
2.81,-6.69594383966746
2.8125,-6.6756984028904
2.815,-6.65577089624982
2.8175,-6.63615735992876
2.82,-6.61685391653826
2.8225,-6.59785676924368
2.825,-6.57916219994641
2.8275,-6.56076656751893
2.83,-6.54266630609165
2.8325,-6.52485792338941
2.835,-6.50733799911638
2.8375,-6.49010318338733
2.84,-6.47315019520416
2.8425,-6.45647582097579
2.845,-6.44007691308028
2.8475,-6.4239503884677
2.85,-6.40809322730243
2.8525,-6.39250247164362
2.855,-6.37717522416264
2.8575,-6.36210864689629
2.86,-6.34729996003474
2.8625,-6.33274644074293
2.865,-6.31844542201464
2.8675,-6.30439429155803
2.87,-6.29059049071176
2.8725,-6.27703151339076
2.875,-6.26371490506074
2.8775,-6.25063826174059
2.88,-6.23779922903183
2.8825,-6.22519550117434
2.885,-6.21282482012754
2.8875,-6.2006849746763
2.89,-6.1887737995609
2.8925,-6.17708917463034
2.895,-6.16562902401826
2.8975,-6.15439131534089
2.9,-6.14337405891646
2.9025,-6.13257530700533
2.905,-6.12199315307042
2.9075,-6.11162573105723
2.91,-6.10147121469307
2.9125,-6.09152781680483
2.915,-6.08179378865491
2.9175,-6.07226741929472
2.92,-6.06294703493542
2.9225,-6.05383099833524
2.925,-6.04491770820323
2.9275,-6.03620559861871
2.93,-6.02769313846623
2.9325,-6.01937883088558
2.935,-6.01126121273645
2.9375,-6.00333885407739
2.94,-5.99561035765874
2.9425,-5.98807435842911
2.945,-5.9807295230552
2.9475,-5.97357454945452
2.95,-5.96660816634074
2.9525,-5.95982913278148
2.955,-5.95323623776799
2.9575,-5.94682829979677
2.96,-5.94060416646258
2.9625,-5.93456271406274
2.965,-5.92870284721241
2.9675,-5.9230234984706
