"torus_rad [cm]","wire_wid [cm]","Freq [GHz]","dB(St11) []"
0.7,0.1,1,-0.290183574044911
0.7,0.1,1.01,-0.301803583220782
0.7,0.1,1.02,-0.313880860942459
0.7,0.1,1.03,-0.326432379728938
0.7,0.1,1.04,-0.339475879648844
0.7,0.1,1.05,-0.353029889136189
0.7,0.1,1.06,-0.367113745888227
0.7,0.1,1.07,-0.381747617765832
0.7,0.1,1.08,-0.396952523608597
0.7,0.1,1.09,-0.412750353868001
0.7,0.1,1.1,-0.429163890952665
0.7,0.1,1.11,-0.446216829169997
0.7,0.1,1.12,-0.463933794138151
0.7,0.1,1.13,-0.48234036153167
0.7,0.1,1.14,-0.501463075012917
0.7,0.1,1.15,-0.521329463190082
0.7,0.1,1.16,-0.541968055430716
0.7,0.1,1.17,-0.563408396347798
0.7,0.1,1.18,-0.585681058763228
0.7,0.1,1.19,-0.608817654941545
0.7,0.1,1.2,-0.63285084587454
0.7,0.1,1.21,-0.657814348385777
0.7,0.1,1.22,-0.683742939812412
0.7,0.1,1.23,-0.710672460011066
0.7,0.1,1.24,-0.738639810424221
0.7,0.1,1.25,-0.767682949934584
0.7,0.1,1.26,-0.797840887226941
0.7,0.1,1.27,-0.829153669370468
0.7,0.1,1.28,-0.861662366329847
0.7,0.1,1.29,-0.895409051110662
0.7,0.1,1.3,-0.930436775244175
0.7,0.1,1.31,-0.966789539318666
0.7,0.1,1.32,-1.00451225826958
0.7,0.1,1.33,-1.04365072114886
0.7,0.1,1.34,-1.08425154510561
0.7,0.1,1.35,-1.12636212332553
0.7,0.1,1.36,-1.17003056669612
0.7,0.1,1.37,-1.2153056389881
0.7,0.1,1.38,-1.26223668537158
0.7,0.1,1.39,-1.31087355411788
0.7,0.1,1.4,-1.36126651137499
0.7,0.1,1.41,-1.41346614894605
0.7,0.1,1.42,-1.46752328504618
0.7,0.1,1.43,-1.5234888580631
0.7,0.1,1.44,-1.581413813401
0.7,0.1,1.45,-1.64134898354442
0.7,0.1,1.46,-1.70334496153977
0.7,0.1,1.47,-1.76745196815432
0.7,0.1,1.48,-1.83371971303744
0.7,0.1,1.49,-1.90219725027365
0.7,0.1,1.5,-1.97293282878188
0.7,0.1,1.51,-2.04597373807944
0.7,0.1,1.52,-2.12136614998994
0.7,0.1,1.53,-2.19915495693286
0.7,0.1,1.54,-2.27938360748539
0.7,0.1,1.55,-2.36209393995505
0.7,0.1,1.56,-2.44732601474242
0.7,0.1,1.57,-2.53511794630668
0.7,0.1,1.58,-2.6255057355714
0.7,0.1,1.59,-2.71852310362419
0.7,0.1,1.6,-2.81420132757032
0.7,0.1,1.61,-2.91256907939791
0.7,0.1,1.62,-3.01365226870084
0.7,0.1,1.63,-3.11747389008612
0.7,0.1,1.64,-3.22405387606586
