*,$muscle_per,$match_per,circ_rad,circ_wid,port_gap,turn_z,muscle_dim,match_dim,match_wid,surface_dim
1,30,23,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
2,40,1,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
3,40,9,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
4,40,17,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
5,40,24,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
6,40,32,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
7,50,1,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
8,50,9,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
9,50,17,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
10,50,26,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
11,50,34,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
12,50,42,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,1cm,1cm
