"$match_per []","$muscle_per []","circ_rad [cm]","circ_wid [cm]","match_wid [cm]","Freq [GHz]","dB(St11) []"
1,20,0.6,0.1,0.5,2.4,-0.0653271641845455
1,20,0.6,0.1,1,2.4,-0.0200945838288544
1,20,0.7,0.1,0.5,2.4,-0.0789307352395015
1,20,0.7,0.1,1,2.4,-0.0292924577268053
1,20,0.8,0.1,0.5,2.4,-0.0978248467602957
1,20,0.8,0.1,1,2.4,-0.0325124524799622
1,20,0.9,0.2,0.5,2.4,-0.151321964427438
1,20,0.9,0.2,1,2.4,-0.0567604774352848
1,20,1,0.2,0.5,2.4,-0.176994388456258
1,20,1,0.2,1,2.4,-0.0688925477094852
1,20,1.1,0.2,0.5,2.4,-0.203216020765639
1,20,1.1,0.2,1,2.4,-0.0888272306304959
1,30,0.6,0.1,0.5,2.4,-0.0743365409019561
1,30,0.6,0.1,1,2.4,-0.0203987878556685
1,30,0.7,0.1,0.5,2.4,-0.0959581908183526
1,30,0.7,0.1,1,2.4,-0.0281536251912577
1,30,0.8,0.1,0.5,2.4,-0.104500916946848
1,30,0.8,0.1,1,2.4,-0.0318424316058091
1,30,0.9,0.2,0.5,2.4,-0.162520438722039
1,30,0.9,0.2,1,2.4,-0.0545119756699984
1,30,1,0.2,0.5,2.4,-0.185370821297338
1,30,1,0.2,1,2.4,-0.0691938001516228
1,30,1.1,0.2,0.5,2.4,-0.214782972600381
1,30,1.1,0.2,1,2.4,-0.0845303531255714
1,40,0.6,0.1,0.5,2.4,-0.0877545448928181
1,40,0.6,0.1,1,2.4,-0.0197376233701562
1,40,0.7,0.1,0.5,2.4,-0.102547667568958
1,40,0.7,0.1,1,2.4,-0.0272314212041773
1,40,0.8,0.1,0.5,2.4,-0.108008877237553
1,40,0.8,0.1,1,2.4,-0.032682002580466
1,40,0.9,0.2,0.5,2.4,-0.178219558646462
1,40,0.9,0.2,1,2.4,-0.0514133109375809
1,40,1,0.2,0.5,2.4,-0.190421666982219
1,40,1,0.2,1,2.4,-0.0640173956572352
1,40,1.1,0.2,0.5,2.4,-0.214926814327446
1,40,1.1,0.2,1,2.4,-0.0813001603495266
1,50,0.6,0.1,0.5,2.4,-0.0898710617390946
1,50,0.6,0.1,1,2.4,-0.0189887045635462
1,50,0.7,0.1,0.5,2.4,-0.103297444518867
1,50,0.7,0.1,1,2.4,-0.025357688358214
1,50,0.8,0.1,0.5,2.4,-0.108373407469182
1,50,0.8,0.1,1,2.4,-0.0303014926194012
1,50,0.9,0.2,0.5,2.4,-0.178776999544922
1,50,0.9,0.2,1,2.4,-0.0496187752377736
1,50,1,0.2,0.5,2.4,-0.187234685406654
1,50,1,0.2,1,2.4,-0.0610173307331685
1,50,1.1,0.2,0.5,2.4,-0.20959827607812
1,50,1.1,0.2,1,2.4,-0.0758355000600765
7,20,0.6,0.1,0.5,2.4,-0.482921388977102
7,20,0.6,0.1,1,2.4,-0.39718885079676
7,20,0.7,0.1,0.5,2.4,-1.03894969422301
7,20,0.7,0.1,1,2.4,-0.880123096599795
7,20,0.8,0.1,0.5,2.4,-2.32408059097992
7,20,0.8,0.1,1,2.4,-1.84424074675478
7,20,0.9,0.2,0.5,2.4,-4.86008347427319
7,20,0.9,0.2,1,2.4,-3.60701723019477
7,20,1,0.2,0.5,2.4,-8.63869761080799
7,20,1,0.2,1,2.4,-5.64865258281494
7,20,1.1,0.2,0.5,2.4,-8.39635686226305
7,20,1.1,0.2,1,2.4,-6.59463457177887
8,30,0.6,0.1,0.5,2.4,-0.605004230568119
8,30,0.6,0.1,1,2.4,-0.570993070560003
8,30,0.7,0.1,0.5,2.4,-1.410416509168
8,30,0.7,0.1,1,2.4,-1.27218674654265
8,30,0.8,0.1,0.5,2.4,-3.6164147844143
8,30,0.8,0.1,1,2.4,-3.04582885042448
8,30,0.9,0.2,0.5,2.4,-7.66549364701983
8,30,0.9,0.2,1,2.4,-5.1107966580568
8,30,1,0.2,0.5,2.4,-10.886900521397
8,30,1,0.2,1,2.4,-6.81651983364555
8,30,1.1,0.2,0.5,2.4,-7.416966435166
8,30,1.1,0.2,1,2.4,-6.38605234784711
9,40,0.6,0.1,0.5,2.4,-0.835860199737677
9,40,0.6,0.1,1,2.4,-0.803133906229158
9,40,0.7,0.1,0.5,2.4,-2.02947812624896
9,40,0.7,0.1,1,2.4,-1.92617500441717
9,40,0.8,0.1,0.5,2.4,-5.84593843891462
9,40,0.8,0.1,1,2.4,-4.23374421453009
9,40,0.9,0.2,0.5,2.4,-11.2161568973314
9,40,0.9,0.2,1,2.4,-6.21734855315302
9,40,1,0.2,0.5,2.4,-10.0640434648319
9,40,1,0.2,1,2.4,-6.9247187847918
9,40,1.1,0.2,0.5,2.4,-6.07503848273599
9,40,1.1,0.2,1,2.4,-5.7925742384324
9,50,0.6,0.1,0.5,2.4,-0.794900713574893
9,50,0.6,0.1,1,2.4,-0.831735593570685
9,50,0.7,0.1,0.5,2.4,-1.97189738304512
9,50,0.7,0.1,1,2.4,-2.01527839857656
9,50,0.8,0.1,0.5,2.4,-5.9992630559491
9,50,0.8,0.1,1,2.4,-4.4843809082271
9,50,0.9,0.2,0.5,2.4,-12.4283086682852
9,50,0.9,0.2,1,2.4,-6.43232372412858
9,50,1,0.2,0.5,2.4,-10.3484107499745
9,50,1,0.2,1,2.4,-6.76422635157617
9,50,1.1,0.2,0.5,2.4,-5.8730701585435
9,50,1.1,0.2,1,2.4,-5.46487742939609
14,20,0.6,0.1,0.5,2.4,-3.00944501651439
14,20,0.6,0.1,1,2.4,-2.12848580750207
14,20,0.7,0.1,0.5,2.4,-7.76557897434602
14,20,0.7,0.1,1,2.4,-5.35046519613288
