x	y	Class
2.046182938	0	1
1.38969723	1.0056606	1
2.466581838	2.474247376	1
2.499100365	1.338524894	1
1.388202633	2.359514195	1
1.733156459	2.025755252	1
1.60236924	1.285494173	1
0.975473615	1.643020753	1
1.763347799	1.326194372	1
2.322523457	0.888139056	1
1.979226301	2.007815216	1
1.792277614	1.027835718	1
1.624424035	1.338672486	1
1.477085351	1.309904229	1
2.841682052	1.713379084	1
1.565592248	1.950424064	1
2.75808429	1.62595929	1
2.477851777	1.879963041	1
1.02023119	2.070819338	1
2.086110063	1.317985472	1
2.3439518	1.338477564	1
2.660747873	2.691354375	1
2.051139899	2.142598278	1
2.489920604	1.502942671	1
2.35977172	1.780434373	1
1.478325713	1.764146127	1
1.781855003	1.763179194	1
1.692211606	2.273194062	1
1.17336817	1.964649619	1
1.84804454	1.653897626	1
2.402529246	2.235067588	1
1.452506401	1.809506795	1
2.769102232	0.767592405	1
2.92600744	2.184817543	1
1.387369681	1.327787379	1
2.670204918	2.105872538	1
1.551741328	2.151512312	1
2.25776325	0.4993587	1
2.24646254	0.905087126	1
2.318792674	1.308654374	1
4.799846235	4.420238226	2
4.839254107	3.760257444	2
5.832615209	4.503956151	2
3.940540651	3.348548804	2
4.591499611	4.475952736	2
5.242985552	4.346907039	2
5.00956849	4.23028071	2
4.966347394	3.629328737	2
4.538656543	3.439236303	2
4.122303126	4.342087007	2
3.852216176	4.085980928	2
5.588768678	4.161378835	2
4.434149351	3.369345715	2
4.41163558	5.044853034	2
4.90157584	3.875188002	2
4.825432441	5.145842297	2
5.104384092	3.117287618	2
3.942687486	3.500364039	2
4.613756875	3.601042446	2
4.708991771	4.614054046	2
3.933776461	4.575902734	2
4.803503363	3.342486938	2
4.939704302	3.971363441	2
5.691933744	3.027791897	2
4.934779888	4.378452726	2
4.943516754	3.487305866	2
5.192972233	3.523611862	2
4.099939777	3.263326005	2
4.762179698	3.779126319	2
5.543328662	5.131323527	2
4.286948836	3.398232436	2
5.048692394	3.867202332	2
3.555343902	5.01232222	2
4.330787553	3.867497227	2
4.074310818	3.664661208	2
4.69502116	4.117395737	2
3.965620382	4.280761876	2
3.332416874	3.298496745	2
4.36198753	4.182217176	2
5.016786075	3.789365351	2
2.633053008	4.685265982	3
2.29318029	5.207085756	3
2.728862363	5.184770392	3
2.263243626	4.602119059	3
2.909516122	5.329011865	3
2.676127889	4.025254565	3
3.013593303	4.852676377	3
2.56728211	3.736349814	3
2.847347895	5.291706276	3
3.158436009	5.058533437	3
2.704077351	4.341203028	3
3.522810915	4.264205705	3
2.227168216	5.535640969	3
2.737878733	4.635437509	3
2.496621301	4.568318589	3
2.401822055	5.102739016	3
2.190672726	5.265256563	3
2.089101947	5.051800994	3
3.284223939	4.746642276	3
2.991266413	4.129536957	3
2.266920089	4.94916229	3
2.749483328	5.037957861	3
2.320580884	3.64875195	3
2.748837412	3.979351371	3
2.808713393	4.154524813	3
3.139258466	4.707712709	3
2.089018721	4.348197448	3
4.065324549	5.115210399	3
2.734539353	4.278409166	3
3.6388656	4.962057958	3
3.146408885	4.232565686	3
2.227738791	4.82368532	3
3.635226433	4.899622995	3
3.10416936	3.999989979	3
2.485251829	5.87380089	3
3.087926248	5.018473412	3
2.791950285	4.529948731	3
3.701082633	4.642112082	3
1.87655949	4.740886749	3
3.062279019	4.177142463	3
4.28666366	5.931969643	4
3.320623729	5.638030354	4
4.019121497	6.537512182	4
3.327456902	6.16808103	4
3.417948231	6.392942483	4
3.722992226	6.043403981	4
4.186203769	6.500303543	4
3.397373332	7.320663514	4
2.965608541	7.005499331	4
3.588034456	5.902047832	4
3.657316676	7.571881572	4
3.556417339	6.517383261	4
2.550473257	7.446557896	4
3.609262139	6.028719993	4
2.625629354	6.52950591	4
4.095715469	6.099893534	4
2.632571825	6.023794559	4
4.387666726	5.217024081	4
3.714205277	6.135510472	4
3.205346671	6.906138137	4
3.23391406	6.155511304	4
3.501187181	7.078379347	4
2.899561752	6.060975426	4
3.498425404	5.061823681	4
4.066160731	6.077653363	4
4.349927803	6.562180952	4
3.415638572	6.637132838	4
2.943046794	5.387179619	4
3.130082159	6.590770074	4
3.412330396	6.142388959	4
2.904189583	5.379756792	4
3.045146259	6.125632356	4
3.310986847	7.120832371	4
3.221139864	5.819592482	4
3.683857721	6.853719199	4
3.381199368	5.760652655	4
4.046987235	6.295992078	4
3.10127916	5.775628801	4
2.501854587	6.252896034	4
4.111962519	6.155998231	4
6.924428446	3.113843065	5
5.85107762	1.987500458	5
4.714740509	1.058849817	5
5.852585478	1.70414878	5
6.28926089	1.862345118	5
4.528963522	2.797384216	5
5.554161131	2.543703044	5
5.112968174	1.916393718	5
4.041253341	2.175460872	5
4.308531254	2.661067526	5
5.07893891	2.444486873	5
5.214697823	2.114842164	5
5.048425689	1.74768822	5
4.815959872	0.846324404	5
5.445569467	2.38845367	5
4.931530491	2.193561328	5
5.039534482	2.314670609	5
6.426955074	2.204631244	5
5.167398026	2.030789099	5
6.229663806	2.40059037	5
5.485933688	1.125646502	5
4.792272718	3.298249717	5
4.643000989	1.588620933	5
5.308463216	2.593218855	5
5.126171418	1.908616261	5
4.554185362	2.947064268	5
3.622249675	1.219440296	5
6.104436516	2.58048674	5
4.684728069	2.497718134	5
5.923882559	1.379304882	5
4.323021165	2.095872444	5
5.481827846	1.954395244	5
4.966725454	2.368360046	5
4.368633049	1.702318048	5
4.066372767	1.045252971	5
4.946575951	1.496100956	5
4.427880922	0.724727166	5
4.300020656	1.235575727	5
4.959304985	2.468787522	5
4.72638487	2.600699538	5
1.945628685	7.739726298	6
1.934428308	8.976931619	6
2.411644978	8.3033764	6
0.547512208	7.442833901	6
1.523893363	7.054981724	6
1.58324744	7.43883384	6
1.856499426	8.240216838	6
1.4299905	7.950458357	6
1.871687544	7.585728276	6
1.897797397	7.4675573	6
1.274570766	7.877771175	6
1.495415408	7.19192295	6
0.367956044	7.756132616	6
2.641395228	8.537277674	6
1.542293375	8.163133061	6
0.927858164	7.477429894	6
1.326678527	8.413331662	6
1.68344803	9.672739747	6
2.310679466	8.171363408	6
1.614859326	7.234002996	6
0.096268993	6.651359539	6
2.208220918	7.584611064	6
0.523555164	7.392623267	6
1.400751712	8.505085334	6
2.448269144	8.422223499	6
2.030750938	7.780317493	6
1.685758948	8.611851952	6
2.101410548	8.089801113	6
1.432279774	7.288900373	6
2.407597479	7.691609913	6
1.143298988	8.317582114	6
1.018448716	7.762909862	6
1.203681962	7.763039916	6
1.560660459	8.637691374	6
2.103366526	8.049477005	6
2.480959409	8.393076675	6
1.570485556	7.975048199	6
1.778096829	8.20659999	6
2.261949956	8.737818014	6
1.23633434	8.263542322	6
2.975267184	11.41675894	7
2.770802075	11.91789025	7
3.126150263	10.73997348	7
3.448340374	10.41930552	7
1.992160932	10.94236847	7
3.420811806	11.13076345	7
2.743259526	10.75153823	7
2.379561635	11.16561598	7
3.997077518	10.72555083	7
2.538833895	11.46116424	7
2.284187863	10.54020293	7
3.046106301	10.08374309	7
3.671495564	10.97469322	7
2.20481795	10.50068038	7
2.546422821	10.727702	7
2.58192937	10.23581817	7
2.102593405	10.64617952	7
3.077838298	10.02009666	7
2.838348284	10.44112766	7
3.955386665	10.93227508	7
4.070064235	10.50775085	7
3.749620413	11.32320545	7
3.141211503	9.769845071	7
2.263342891	10.84943623	7
3.786209316	11.27549326	7
3.332226298	11.11387556	7
2.944918319	10.04386706	7
3.274110597	10.03191491	7
2.474006454	10.65281666	7
1.832263484	10.35204598	7
2.901087203	10.16942297	7
2.308451474	11.04178154	7
3.676295701	10.99078065	7
3.18366981	10.07758841	7
2.561636233	10.80874436	7
2.405530675	11.21667651	7
2.346406443	10.62431839	7
3.349554754	10.58328194	7
2.45969763	10.56590395	7
2.745170674	11.34032119	7
5.424926391	10.81388121	8
4.877383622	11.16275567	8
4.949555337	11.32912199	8
5.415390965	12.42646645	8
5.008514171	11.43058397	8
5.387067257	10.11701655	8
4.564016815	12.5922672	8
5.78372578	11.88547073	8
5.422400229	10.16147522	8
5.498435608	11.11034807	8
5.430197775	11.90912638	8
6.027431956	11.22350053	8
4.982383173	11.16382182	8
5.665980376	11.11176723	8
4.310339641	11.23081188	8
4.639194473	11.88143508	8
5.001298638	11.67942328	8
4.903198202	11.70510798	8
5.238718119	12.07980798	8
5.375979816	11.52550553	8
5.287754115	11.24334985	8
5.43482042	11.11533995	8
4.896456888	11.53584857	8
5.7838053	10.70885779	8
5.080891561	12.16782854	8
5.444417467	12.32144363	8
5.308575354	10.42395652	8
5.468758805	11.60337087	8
5.518855555	10.93949101	8
4.814145512	11.28704267	8
5.193481623	12.46137924	8
4.077520239	11.53835365	8
5.648103352	11.59601266	8
4.91188128	10.4527269	8
6.095601109	10.89843398	8
5.668708228	11.1340455	8
5.177144418	10.79408564	8
5.35600574	10.70111993	8
5.131336489	10.30571611	8
4.945894722	11.2448056	8
7.768788399	9.604714595	9
7.850607874	10.09463023	9
8.638131165	9.849085522	9
6.663930041	9.970689523	9
7.080738588	9.529940696	9
8.154775571	10.31530421	9
7.564091949	9.905024302	9
7.530831378	9.315017037	9
6.364088755	10.06393176	9
7.477436949	10.46311391	9
7.656611684	9.134327549	9
6.309177676	9.05294489	9
8.267278961	9.951721526	9
6.87613184	9.581673955	9
7.900156342	10.21823633	9
7.795701147	9.36067187	9
7.382062687	8.434522677	9
7.477183714	8.852206401	9
7.154534607	9.448883077	9
8.038540935	9.11449467	9
7.585284217	9.437548965	9
7.567230219	10.0333789	9
7.002260099	8.973585876	9
6.878475075	9.405902759	9
8.435587359	9.228866582	9
7.317627283	9.456428523	9
7.475863126	9.28334787	9
7.119754584	9.196249915	9
6.808893589	9.435287083	9
8.414074964	9.826412076	9
7.930060287	8.939234013	9
7.275087892	9.290621987	9
8.321638622	9.603558632	9
7.023086308	9.752951462	9
8.112576781	10.09852816	9
8.155295607	9.940229768	9
7.440469209	9.255361539	9
8.8146015	9.805223631	9
8.007124515	9.624226366	9
7.5980861	9.362994054	9
1.915276577	11.48611775	10
1.811764324	10.5438964	10
1.409921749	11.61229208	10
0.874094696	11.84358464	10
2.367134754	11.78848641	10
2.30854121	12.04952396	10
2.066555804	11.80352629	10
1.679153587	11.46160976	10
2.070500259	11.26828009	10
1.028724831	11.59031061	10
0.830347974	12.63000351	10
1.622197357	11.66920243	10
0.844036276	11.03214968	10
1.563381605	10.97500813	10
1.444642991	10.7794961	10
1.275628134	11.82815182	10
1.844165398	12.03206689	10
0.387239818	11.69455525	10
1.707556044	12.13664	10
1.917778597	12.24175133	10
0.90009872	12.28787479	10
0.458242408	11.25583719	10
0.690560449	11.00834744	10
1.01584611	11.39588415	10
1.721094814	11.07313674	10
0.52701909	11.06079545	10
2.061837421	11.99076244	10
1.594129585	12.16572901	10
1.171073382	12.2342194	10
1.008042232	11.09675324	10
1.853964714	12.07498664	10
2.038116411	12.04076333	10
1.69138777	10.85053578	10
2.457150259	12.01466931	10
2.08359968	12.04204191	10
2.231848159	10.37808607	10
1.952840736	10.93259263	10
2.559601727	11.27216655	10
